series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
35557,Houseki no Kuni,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
11061,Hunter x Hunter (2011),TV,148,0,148,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
13271,Hunter x Hunter Movie 1: Phantom Rouge,Movie,1,0,1,0000-00-00,0000-00-00,,3,,0.00,Completed,,0,,LOW,,0,0,1,default,0
12189,Hyouka,TV,22,0,22,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42361,"Ijiranaide, Nagatoro-san",TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40359,Ikebukuro West Gate Park,TV,12,0,1,0000-00-00,0000-00-00,,3,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
35413,Imouto sae Ireba Ii.,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
16774,Inferno Cop,ONA,13,0,13,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
17843,Inferno Cop: Fact Files,ONA,12,0,12,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11013,Inu x Boku SS,TV,12,0,2,0000-00-00,0000-00-00,,4,,0.00,Dropped, #sem graça #não me pegou,0,,LOW,,0,0,1,default,0
40010,Ishuzoku Reviewers,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
21327,Isshuukan Friends.,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38790,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,12,0,12,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48753,Jahy-sama wa Kujikenai!,TV,20,0,11,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
39534,Jibaku Shounen Hanako-kun,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37992,Jingai-san no Yome,TV,12,0,12,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
14719,JoJo no Kimyou na Bouken (TV),TV,26,0,26,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24,0,24,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,0,24,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,0,39,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,0,39,0000-00-00,2019-07-28,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38619,Joshikousei no Mudazukai,TV,12,0,1,0000-00-00,0000-00-00,,4,,0.00,Dropped, #provavelmente vou acabar droppando #mas quero dar mais uma chance pra esse anime,0,,LOW,,0,0,1,default,0
40748,Jujutsu Kaisen,TV,24,0,24,0000-00-00,2021-05-31,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
5680,K-On!,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
7791,K-On!!,TV,26,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
16664,Kaguya-hime no Monogatari,Movie,1,0,1,0000-00-00,0000-00-00,,10,,0.00,Completed,,1,,LOW,,0,0,1,default,0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40750,Kaifuku Jutsushi no Yarinaoshi,TV,12,0,2,2021-01-22,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
37981,Kaijuu no Kodomo,Movie,1,0,1,0000-00-00,0000-00-00,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34933,Kakegurui,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40716,Kakushigoto,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40221,Kami no Tou,TV,13,0,13,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41930,Kamisama ni Natta Hi,TV,12,0,1,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
40839,"Kanojo, Okarishimasu",TV,12,0,12,0000-00-00,2020-11-07,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35860,Karakai Jouzu no Takagi-san,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1604,Katekyo Hitman Reborn!,TV,203,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37965,Kaze ga Tsuyoku Fuiteiru,TV,23,0,23,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
16662,Kaze Tachinu,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32686,Keijo!!!!!!!!,TV,12,0,12,0000-00-00,2018-11-03,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
80,Kidou Senshi Gundam,TV,43,0,2,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
18679,Kill la Kill,TV,24,0,24,0000-00-00,2018-09-25,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38000,Kimetsu no Yaiba,TV,26,0,2,0000-00-00,0000-00-00,,1,,0.00,Dropped, #eu me sinto burro assistindo esse anime #muito diálogo expositivo. É só um shounenzão mal feito,0,,LOW,,0,0,1,default,0
6045,Kimi ni Todoke,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32281,Kimi no Na wa.,Movie,1,0,1,0000-00-00,0000-00-00,,2,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35079,Kino no Tabi: The Beautiful World - The Animated Series,TV,12,0,12,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37475,Kishuku Gakkou no Juliet,TV,12,0,12,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
5042,Kiss x Sis,OVA,12,0,12,0000-00-00,0000-00-00,,1,,0.00,Completed,,0,,LOW,,0,0,1,default,0
7593,Kiss x Sis (TV),TV,12,0,12,0000-00-00,0000-00-00,,1,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31798,Kiznaiver,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
9260,Kizumonogatari I: Tekketsu-hen,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31757,Kizumonogatari II: Nekketsu-hen,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
